Price,Close,High,Low,Open,Volume
Ticker,TLT,TLT,TLT,TLT,TLT
Date,,,,,
2002-07-30,36.24284362792969,36.41178938495573,36.24284362792969,36.345100448863356,6100
2002-07-31,36.691864013671875,36.811904728500195,36.41177466563716,36.4340020407225,29400
2002-08-01,36.900821685791016,36.90971195759954,36.69631151480604,36.69631151480604,25000
2002-08-02,37.278743743896484,37.38989086501242,36.8474923712561,36.97197999613635,52800
2002-08-05,37.44320297241211,37.54101287791637,37.27870418661519,37.36317699444839,61100
2002-08-06,37.123111724853516,37.30094766898902,36.99862758154021,37.287610566768095,64900
2002-08-07,37.2120475769043,37.40766755755601,37.06088914963001,37.16758941546717,40300
2002-08-08,37.2120475769043,37.24316862910432,37.06088914963001,37.158699139955864,40900
2002-08-09,37.73665237426758,37.73665237426758,37.34541590493314,37.34541590493314,35900
2002-08-12,37.96784591674805,38.54580873884249,37.85225199555318,37.92338775996231,32100
2002-08-13,38.434627532958984,38.443521191585305,37.954475117182554,38.136754415778945,75400
2002-08-14,38.581382751464844,39.07932300562952,38.56804564150391,38.88370301436117,130000
2002-08-15,38.243492126464844,38.45689604785463,38.167912913615645,38.40354421952212,87100
2002-08-16,37.816715240478516,38.465814361258865,37.71001489797917,38.4302498417209,85000
2002-08-19,37.932254791259766,37.94114506039335,37.66105579152415,37.81221750229807,47300
2002-08-20,38.35462951660156,38.36352318170929,38.05675618234122,38.065649847448945,40800
2002-08-21,38.150123596191406,38.27905461920912,38.07009756093696,38.092328334262,40000
2002-08-22,37.816715240478516,38.03456615434071,37.816715240478516,38.03456615434071,34400
2002-08-23,38.190147399902344,38.21237478657822,37.87893345897478,37.87893345897478,20100
2002-08-26,38.225685119628906,38.327938479904674,38.08786050647674,38.10119760634419,23900
2002-08-27,37.985618591308594,38.092318814335044,37.87891497634322,37.967834655481035,301800
2002-08-28,38.176788330078125,38.31460958079126,38.163447835417394,38.25236750679574,18100
2002-08-29,38.483558654785156,38.61693648940352,38.39019552732799,38.57247834184381,135700
2002-08-30,38.71476364135742,38.73699102903823,38.43467074266516,38.56804863651298,78100
2002-09-03,39.309932708740234,39.309932708740234,38.845571445890705,38.8812923291555,102100
2002-09-04,39.301002502441406,39.42602559933274,39.22063221484823,39.30546846467744,66300
2002-09-05,39.51532745361328,39.58230326619686,39.01524524705808,39.54658237861477,648400
2002-09-06,39.050960540771484,39.376907631837774,38.93486937602489,39.2786769083238,140000
2002-09-09,38.9929313659668,39.2161818557664,38.96167643365614,39.06883571493095,83800
2002-09-10,39.18042755126953,39.29205270098824,38.84555210211338,38.92145638635509,336000
2002-09-11,38.97504425048828,38.97951021105757,38.733933477693704,38.84555864621731,177700
2002-09-12,39.27870178222656,39.35460615063478,39.055451235237925,39.059917200006936,43400
2002-09-13,39.64033126831055,39.711773014845434,39.37243153186464,39.43940731760861,155100
2002-09-16,39.70735168457031,39.83683744080753,39.69395719367229,39.827905509186316,73000
2002-09-17,39.78323745727539,39.88146821994667,39.452827679089246,39.5778474110228,75400
2002-09-18,39.79218673706055,39.988644941541246,39.74753389344187,39.810047193201285,196600
2002-09-19,40.060062408447266,40.0823854101499,39.854672397512324,40.05113048254091,109900
2002-09-20,39.87253952026367,39.97076687596233,39.765376830630636,39.93951194311908,113500
2002-09-23,40.2297248840332,40.29223472892634,40.08237878970036,40.18507548147112,163200
2002-09-24,40.48868942260742,40.60478057509553,40.278833518447165,40.31902035860979,251900
2002-09-25,39.997535705566406,40.3458057255209,39.85465561003302,40.22971458335934,127200
2002-09-26,39.90378952026367,39.97522789798907,39.56444785810566,39.760909358281104,429000
2002-09-27,40.20295715332031,40.20295715332031,39.95291764171225,39.97524065151562,298200
2002-09-30,40.3636589050293,40.58690922706317,40.2207788351888,40.47975002631519,297800
2002-10-01,39.86304473876953,40.02439756137467,39.800296798812674,39.96164962141781,257500
2002-10-02,40.091617584228516,40.10506649986154,39.81821443128585,39.99749569183105,91000
2002-10-03,39.99301528930664,40.11851114316886,39.80028853673093,40.024389252772195,29900
2002-10-04,40.1185188293457,40.212640737774876,39.62101487085848,39.62101487085848,131000
2002-10-07,40.18577194213867,40.32023042010404,40.09612953732033,40.293339408412585,433800
2002-10-08,40.19915008544922,40.571154328668925,40.05124292998106,40.113990798451965,530900
2002-10-09,40.405364990234375,40.50844941796722,40.31572264056886,40.47259589760701,402900
2002-10-10,40.0871467590332,40.41433196771538,40.01543287140039,40.41433196771538,97100
2002-10-11,39.612037658691406,39.98852860482869,39.46861335052131,39.934743206950436,421800
2002-10-14,39.55375671386719,39.688218444435414,39.47308035942702,39.66580701617276,18300
2002-10-15,38.61704635620117,39.12799583861693,38.61256338333608,38.99353400871536,297100
2002-10-16,38.634979248046875,38.81426058445803,38.49603783659409,38.81426058445803,125200
2002-10-17,38.16434860229492,38.34810939193309,38.12849167082717,38.15986563098515,233400
2002-10-18,38.26298522949219,38.27194776004944,37.774443536174864,38.10611187892191,459100
2002-10-21,37.89094161987305,38.36603394510281,37.87301315596751,38.32121449509139,134900
2002-10-22,37.783390045166016,38.02989883299428,37.74753310237076,38.02989883299428,205000
2002-10-23,37.79682540893555,38.18675844388128,37.729594514098416,37.985069178875236,127800
2002-10-24,38.128517150878906,38.20919359084221,37.68479844083445,37.72065539626424,339600
2002-10-25,38.267433166503906,38.34810955289239,38.164348762482916,38.25398767202336,146100
2002-10-28,38.21363067626953,38.383945880776665,38.1867362822396,38.348088968405676,97800
2002-10-29,38.71116638183594,38.94422966686098,38.44224273514508,38.464654178871385,125000
2002-10-30,38.69770812988281,38.85009838755102,38.5766952536656,38.71115704457841,31900
2002-10-31,38.87251281738281,38.93077777419272,38.55428678236648,38.56773569809706,512700
2002-11-01,38.7099609375,39.137669047774615,38.381298454040525,38.85403136321554,125100
2002-11-04,38.538875579833984,38.60640934438633,38.38129908581848,38.48485131612007,342500
2002-11-05,38.390342712402344,38.53891646505465,38.30930279594778,38.53891646505465,73800
2002-11-06,38.54338073730469,38.77749390694536,38.228227732998,38.29125833385934,118500
2002-11-07,39.49785614013672,39.49785614013672,39.101659799843304,39.19170598396031,147900
2002-11-08,39.8175048828125,39.91205078218554,39.59689434936536,39.79949564937334,294700
2002-11-11,40.03361892700195,40.03361892700195,39.79950570297457,39.86703948670335,70000
2002-11-12,39.80400085449219,40.137163102899926,39.78599162013092,40.137163102899926,494300
2002-11-13,39.889522552490234,39.93004417037585,39.601381801625344,39.82198881262,104700
2002-11-14,39.061161041259766,39.461857314077896,39.061161041259766,39.461857314077896,118000
2002-11-15,39.21873092651367,39.27275865462373,38.83604396507493,38.96210522908658,110700
2002-11-18,39.3942756652832,39.452803066847515,39.15115629470275,39.17816841313117,32200
2002-11-19,39.53837966918945,39.7229717952948,39.39881235865889,39.596907120561035,51800
2002-11-20,39.15120315551758,39.71848236585917,39.08366934370581,39.709476025664344,307400
2002-11-21,38.77302932739258,38.9441120512803,38.65597091898874,38.9441120512803,323200
2002-11-22,38.73701477050781,38.89459143156567,38.66497776264502,38.86757927107392,184800
2002-11-25,38.66493606567383,38.89004632011166,38.62892103549529,38.71896376330646,288200
2002-11-26,39.15120315551758,39.178215306277345,38.7865253806113,38.80903436127365,377800
2002-11-27,38.26877212524414,38.86756667817107,38.25076287911335,38.8315481859095,325600
2002-11-29,38.516395568847656,38.55241062676054,38.331803369301774,38.3408097099644,31700
2002-12-02,38.55214309692383,38.624509171915186,38.05916215081164,38.15414003628451,284900
2002-12-03,38.60638427734375,38.760156877854996,38.49783870930044,38.760156877854996,113800
2002-12-04,38.805389404296875,38.89584347399577,38.69232009187247,38.85061643914632,129000
2002-12-05,38.90489196777344,39.02248503236527,38.5611637029696,38.57020773073729,206400
2002-12-06,38.97272872924805,39.38882295962523,38.78729685617622,39.34811966453683,440500
